2018-05-21 15:33:45.682948 {'anger': 0.0, 'contempt': 0.001, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.0, 'neutral': 0.973, 'sadness': 0.026, 'surprise': 0.0}
2018-05-21 15:33:50.695729 {'anger': 0.001, 'contempt': 0.003, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.0, 'neutral': 0.987, 'sadness': 0.009, 'surprise': 0.0}
2018-05-21 15:33:55.701419 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 1.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}
2018-05-21 15:34:00.712262 {'anger': 0.001, 'contempt': 0.256, 'disgust': 0.001, 'fear': 0.0, 'happiness': 0.006, 'neutral': 0.727, 'sadness': 0.007, 'surprise': 0.001}
2018-05-21 15:34:05.788389 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.0, 'neutral': 0.999, 'sadness': 0.0, 'surprise': 0.0}
2018-05-21 15:34:10.823015 {'anger': 0.0, 'contempt': 0.002, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.0, 'neutral': 0.986, 'sadness': 0.012, 'surprise': 0.0}
2018-05-21 15:34:15.900676 {'anger': 0.091, 'contempt': 0.005, 'disgust': 0.002, 'fear': 0.001, 'happiness': 0.0, 'neutral': 0.879, 'sadness': 0.02, 'surprise': 0.002}
2018-05-21 15:35:04.603867 {'anger': 0.0, 'contempt': 0.002, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.007, 'neutral': 0.931, 'sadness': 0.057, 'surprise': 0.002}
2018-05-21 15:35:09.641879 {'anger': 0.001, 'contempt': 0.002, 'disgust': 0.005, 'fear': 0.0, 'happiness': 0.926, 'neutral': 0.061, 'sadness': 0.002, 'surprise': 0.003}
2018-05-21 15:35:14.712697 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 1.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}
2018-05-21 15:35:19.775921 {'anger': 0.0, 'contempt': 0.012, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.002, 'neutral': 0.97, 'sadness': 0.009, 'surprise': 0.006}
2018-05-21 15:35:24.791315 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 1.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}
2018-05-21 15:35:29.840552 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 1.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}
2018-05-21 15:35:34.902479 {'anger': 0.004, 'contempt': 0.04, 'disgust': 0.002, 'fear': 0.0, 'happiness': 0.001, 'neutral': 0.775, 'sadness': 0.178, 'surprise': 0.0}
2018-05-21 15:35:39.946872 {'anger': 0.0, 'contempt': 0.011, 'disgust': 0.001, 'fear': 0.0, 'happiness': 0.001, 'neutral': 0.771, 'sadness': 0.215, 'surprise': 0.001}
2018-05-21 15:35:45.018629 {'anger': 0.0, 'contempt': 0.002, 'disgust': 0.001, 'fear': 0.0, 'happiness': 0.952, 'neutral': 0.022, 'sadness': 0.022, 'surprise': 0.001}
2018-05-21 15:35:50.030636 {'anger': 0.008, 'contempt': 0.001, 'disgust': 0.01, 'fear': 0.021, 'happiness': 0.149, 'neutral': 0.118, 'sadness': 0.036, 'surprise': 0.656}
2018-05-21 15:35:55.031261 {'anger': 0.002, 'contempt': 0.0, 'disgust': 0.001, 'fear': 0.009, 'happiness': 0.254, 'neutral': 0.022, 'sadness': 0.002, 'surprise': 0.71}
2018-05-21 15:36:01.950315 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.991, 'neutral': 0.009, 'sadness': 0.0, 'surprise': 0.0}
2018-05-21 15:36:06.986901 {'anger': 0.021, 'contempt': 0.0, 'disgust': 0.003, 'fear': 0.065, 'happiness': 0.001, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.911}
2018-05-24 18:53:03.230406 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.0, 'neutral': 0.997, 'sadness': 0.002, 'surprise': 0.0}
2018-05-24 18:53:09.633165 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.0, 'neutral': 0.999, 'sadness': 0.001, 'surprise': 0.0}
2018-05-24 18:53:14.639338 {'anger': 0.001, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.0, 'neutral': 0.997, 'sadness': 0.002, 'surprise': 0.0}
2018-05-24 18:53:19.668591 {'anger': 0.0, 'contempt': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 1.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}
